 /features         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)     INR-TSS     REdens1     REdens2
   3.84238   7.92418   3.92246   0.71528   1.47530   0.27995   0.11295   0.02937   0.09232   0.10249   0.20093   7.39997   7.38172         1
   2.76540   6.76167   3.76160   0.62847   1.78549   0.17936   0.33499   0.01094   0.19025   0.31256   0.04000   7.00182   6.97640         1
   4.66062 -15.34798   4.45508   0.62666   1.08344   0.17846   0.07658   0.01166   0.30434   0.32429   0.13246   5.97940   5.26044         1
   1.16736   7.28349   3.37392   0.60643   0.89424   0.16084   0.04880   0.01252   0.30434   0.31256   0.04000   3.73957   3.30660         1
   4.47993  -0.46610   3.76160   0.65637   0.66161   0.21901   0.04936   0.01430   0.30434   0.32429   0.20093   1.62702   5.39007         1
  -0.06778  -6.48052   3.58013   0.57329   0.87742   0.18194   0.04467   0.01033   0.19025   0.32429   0.04000   5.14645   0.23396         1
   2.91052   9.22098  -6.17954   0.67136   0.92286   0.29926   0.07672   0.03427   0.19520   0.31256   0.14081   5.53482   6.04786         1
   3.94805  -8.87457   4.23708   0.52583   0.60439   0.17367   0.03254   0.01027   0.30434   0.32429   0.12538   8.17723   9.91537         1
   4.09035   8.92374   3.54360   0.70921   1.11698   0.19792   0.05588   0.01515   0.19025   0.32429   0.20093   3.12950   1.54317         1
  -1.56989   4.54159   4.10392   0.53627   3.09368   0.20808   0.27643   0.01316   0.09232   0.10249   0.04000   4.52752   0.62481         1
   1.81465   9.78389   2.59007   0.56961   1.61219   0.17598   0.11081   0.01087   0.15426   0.23419   0.04000   7.34350   6.00405         1
   0.74424   8.31504   3.88593   0.58788   0.76307   0.20393   0.05928   0.01310   0.15426   0.31256   0.04000   6.77987   2.60511         1
   3.30949   7.83777   4.27361   0.63666   0.83204   0.20163   0.06077   0.01515   0.15426   0.31256   0.13053   7.62480   5.96245         1
   2.23313   4.51703   4.06740   0.58355   0.64786   0.19457   0.04293   0.01004   0.30434   0.31256   0.04000   0.71440   1.53378         1
   1.77676   6.07585   4.41855   0.59285   0.82516   0.21207   0.04445   0.01494   0.15426   0.10249   0.04000   7.78912   7.55739         1
   3.29674   9.87644   3.92246   0.70564   1.01651   0.25065   0.07123   0.02832   0.04577   0.23419   0.20093   7.53625   8.05530         1
   5.63674   8.46596   3.76160   0.67870   0.81609   0.19939   0.04795   0.01080   0.19025   0.31256   0.12538   1.75274   1.15897         1
   3.77801   6.95079   3.88593   0.71062   1.01258   0.20255   0.03822   0.01193   0.19520   0.31256   0.20093   5.88628   8.75261         1
   5.34790   9.53782   1.97096   0.73325   1.00219   0.24897   0.06176   0.02435   0.19520   0.31256   0.20093   3.08633   1.38941         1
   0.38939  -5.31517   4.23708   0.59757   0.63234   0.17261   0.03585   0.01080   0.30434   0.32429   0.04000   5.86802   7.93662         1
   0.26797   3.50259   2.70096   0.58528   0.76348   0.20206   0.06781   0.01512   0.19520   0.31256   0.04000   1.06377   0.54317         1
   3.10110   8.86781   2.83412   0.67612   4.30389   0.22649   2.11346   0.01866   0.04577   0.10249   0.08696   8.61111   7.89528         1
   5.34790   5.78643   3.58013   0.60520   1.28214   0.20147   0.08575   0.01350   0.09232   0.23419   0.14081   6.37650   6.61503         1
   6.55262   5.64981  -6.53787   0.64993   0.80079   0.23227   0.04683   0.01725   0.15426   0.23419   0.10979   2.73748   6.99818         1
   2.43414   8.19846   2.89587   0.66549   0.99217   0.28904   0.06815   0.02352   0.04577   0.23419   0.04000   3.44431   3.87050         1
   4.53029  -7.43278   4.23708   0.73151   0.67727   0.19112   0.04747   0.01077   0.30434   0.31256   0.10979   1.33438   1.72718         1
  -1.89831   4.76176   3.72507   0.58153   1.31574   0.21453   0.10483   0.01339   0.04577   0.23419   0.04000   6.40519   1.47861         1
   0.32846   1.58712   4.45508   0.68955   0.70957   0.20646   0.04727   0.01270   0.30434   0.32429   0.04000   0.26721   0.39789         1
  -1.18881   2.46235   3.76160   0.53646   0.73391   0.17673   0.05082   0.01142   0.19025   0.32429   0.04000   1.67827   0.94053         1
  -0.76032   5.76853   4.23708   0.61804   1.55442   0.16039   0.07741   0.01020   0.19025   0.32429   0.04000   3.06521   0.58007         1
   4.14516  -1.04841   3.54360   0.58350   0.85720   0.16559   0.04373   0.00982   0.30434   0.32429   0.20093   4.06142   5.92906         1
   1.51596   7.70406   4.27361   0.59341   0.75862   0.23435   0.05813   0.02104   0.30434   0.32429   0.04000   1.66249   0.34755         1
   3.77382  10.28798  -6.21606   0.68837   1.22912   0.27818   0.07233   0.02997   0.04577   0.10249   0.12538   8.14280   2.89671         1
   2.16866   6.67758   1.97096   0.59844   0.68035   0.23511   0.04498   0.01919   0.19025   0.31256   0.04000   2.56012   0.88706         1
   4.42570   6.63431   3.24703   0.60463   0.78901   0.23572   0.05160   0.02078   0.15426   0.10249   0.12538   6.32668   6.11085         1
   3.38979   7.85187   2.17717   0.62687   0.74813   0.20830   0.05695   0.01364   0.09232   0.23419   0.13053   6.42554   4.88498         1
   3.09307   7.69168   3.88593   0.61314   0.73439   0.20057   0.03838   0.01196   0.09232   0.31256   0.13246   4.15389   0.59507         1
   6.43387   9.78389   4.45508   0.67301   2.40165   0.21637   0.26180   0.01710   0.01474   0.00326   0.13246   9.30216   6.52256         1
  -0.10791   8.96967   3.37392   0.58905   1.10832   0.25674   0.09005   0.02559   0.19520   0.31256   0.04000  10.10889   6.87794         1
   3.84238  10.28798   3.76160   0.67279   0.90424   0.29395   0.06079   0.02534   0.04577   0.23419   0.20093   3.26421   0.98122         1
   2.45198   2.27102   4.27361   0.59304   1.07327   0.20591   0.08146   0.01315   0.19025   0.31256   0.04000   6.20149   6.16340         1
   0.73751   6.45740   3.88593   0.68265   0.84127   0.20758   0.07950   0.01757   0.15426   0.23419   0.04000   1.81494   0.77543         1
   4.67368   6.78487   4.41855   0.63640   1.13002   0.25912   0.07235   0.01866   0.15426   0.31256   0.13053   6.52230   7.73918         1
   3.29755   1.67098   3.24703   0.61917   1.06527   0.21516   0.03709   0.01438   0.15426   0.23419   0.08696   3.45905   0.36359         1
   2.73931  -7.59140   3.54360   0.60189   0.71799   0.16468   0.05148   0.01090   0.30434   0.32429   0.04000   1.25365   0.00000         1
   4.09794   9.09602   2.83412   0.66875   1.36886   0.22152   0.08134   0.01638   0.09232   0.31256   0.14081   7.21583   7.52987         1
   6.72613   5.19176   3.28355   0.66753   1.11925   0.21571   0.05786   0.01644   0.19520   0.23419   0.10979   8.54760   7.82616         1
   5.33487   7.13450   3.19245   0.69698   0.88692   0.21897   0.05457   0.01489   0.30434   0.32429   0.13053   6.64502   8.13146         1
   4.97377   2.65282   3.92246   0.67076   0.72873   0.23877   0.06043   0.01532   0.19520   0.23419   0.12538   3.69992   2.86255         1
