 /features        TATA         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)    TATA-TSS    TATA-INR     INR-TSS     REdens1     REdens2
   5.67104  -3.72482   9.29268   2.61595   0.77925   1.00086   0.23588   0.08736   0.02062   0.21141   0.23419   0.08665   0.03981   0.04000   8.08406   3.12503         1
   7.31866   0.43476  -9.69957   3.66028   0.59413   0.65563   0.16556   0.04436   0.01129   0.22443   0.32429   0.04072   0.03981   0.04000   6.25716   6.87236         1
   8.06375   5.27017   9.11621   2.18262   0.74134   1.50831   0.21235   0.06005   0.01654   0.12382   0.10249   0.17448   0.07834   0.24830   9.25385   7.05565         1
   3.51676   1.59658 -10.41522   3.66028   0.56812   0.84915   0.14872   0.07109   0.00803   0.22443   0.32429   0.01705   0.03981   0.04000   9.87165   5.34336         1
   4.09114   2.79498  -4.98987   4.48970   0.54801   0.63491   0.18657   0.03705   0.01127   0.22443   0.31256   0.08665   0.03981   0.04000   5.64409   5.63201         1
   3.69137   0.93241   7.20092   4.38028   0.87395   0.90277   0.28203   0.06858   0.01989   0.21141   0.23419   0.28007   0.03981   0.04000  10.36940   7.34668         1
   3.54869  -2.98240  -8.28435   3.66028   0.56169   0.65470   0.14637   0.03736   0.00782   0.22443   0.32429   0.28007   0.03981   0.04000   2.98153   5.10230         1
   5.18190   1.37511   6.37793   3.09627   0.58715   0.74561   0.22399   0.04637   0.01397   0.21141   0.31256   0.04072   0.03981   0.04000   6.70021   6.04618         1
   5.16250   1.78402   9.17166   1.62369   0.61217   1.73478   0.19364   0.34528   0.01180   0.12382   0.31256   0.17448   0.03981   0.04000   5.22448   5.18683         1
   8.06375  -1.70526   3.72849   4.21921   0.55129   0.77963   0.18524   0.07136   0.01266   0.22443   0.31256   0.23745   0.03981   0.04000  12.23135   6.32891         1
   8.58545   2.30698   9.01193   3.66028   0.59653   0.69024   0.20642   0.04997   0.01782   0.16217   0.31256   0.23745   0.03981   0.04000  10.77575   8.71134         1
   7.38670   3.07399 -12.57847   4.65077   0.64631   1.05105   0.18730   0.07136   0.00980   0.12382   0.10249   0.28007   0.06787   0.11256   7.87710   4.80369         1
   6.90247   5.43694   8.08117   3.55086   0.73419   0.78527   0.28630   0.05632   0.02394   0.21141   0.31256   0.23745   0.07608   0.12783   9.17357   5.47786         1
   6.30284   1.97657   3.97924   2.18769   0.56045   0.71469   0.19740   0.05524   0.01506   0.17898   0.31256   0.23745   0.03981   0.04000   7.14255   5.79328         1
   7.05274   2.99622  -8.16677   4.38028   0.72476   1.32767   0.32297   0.18413   0.02155   0.12382   0.10249   0.28007   0.07608   0.10945  11.45938   5.15297         1
   5.62579   2.60387   8.12488  -6.49614   0.65844   2.55833   0.22129   0.44162   0.01436   0.12382   0.02295   0.23745   0.03981   0.04000  12.33175   4.41842         1
   2.31726  -4.92508   3.95001   3.38979   0.63556   1.16511   0.18744   0.08891   0.01260   0.12382   0.23419   0.03551   0.03981   0.04000  10.02131   4.35165         1
   5.82132   4.04866   8.29717   3.17818   0.70284   1.25774   0.28190   0.09635   0.02699   0.06960   0.23419   0.01705   0.06674   0.12726  14.12858   7.80559         1
   7.27648   5.99251   5.62481   2.45311   0.74028   0.93982   0.22065   0.08008   0.01511   0.12382   0.10249   0.17448   0.06674   0.12783  11.45489   6.65688         1
   4.15178  -0.35772   5.45709   2.74662   0.57701   1.25609   0.23597   0.09525   0.02021   0.17898   0.23419   0.23745   0.03981   0.04000   9.32062   6.22591         1
   6.90247   0.52671  -3.24291   3.44537   0.58361   0.84723   0.19630   0.08364   0.01389   0.16217   0.31256   0.23745   0.03981   0.04000   7.11224   7.24982         1
   4.57141   5.70906   4.42274   3.17818   0.70856   0.61652   0.18572   0.03516   0.01211   0.21141   0.31256   0.28007   0.06787   0.11256   2.10348   3.82856         1
   8.58545   1.58555   6.89382   3.17818   0.53259   1.63716   0.16585   0.12383   0.00924   0.17898   0.23419   0.28007   0.03981   0.04000   9.02581   7.99929         1
   7.38670   6.66151  -5.01754   3.44537   0.62226   0.76978   0.18202   0.06668   0.01029   0.21141   0.10249   0.17448   0.06787   0.11256  10.16907   5.36278         1
   7.02892   3.46932   6.01685   3.82135   0.59349   1.50524   0.14770   0.08690   0.00734   0.12382   0.31256   0.06084   0.07608   0.10945   4.82950   5.76225         1
   5.67104  -3.65001  -8.81829   2.88136   0.44636   0.68087   0.17044   0.04136   0.01103   0.16217   0.31256   0.08665   0.03981   0.04000   6.12527   3.69098         1
   5.81726   4.53514  -2.64673   3.55086   0.53761   0.95355   0.20306   0.04525   0.01263   0.16217   0.32429   0.23745   0.06787   0.12783   3.82287   4.57684         1
   7.00830   1.47193   1.82100   4.65077   0.63441   0.89221   0.19914   0.05500   0.01262   0.16217   0.31256   0.17448   0.03981   0.04000   5.26000   5.35804         1
   8.06375  -3.03858   7.51028   3.38979   0.53646   1.18583   0.21258   0.18681   0.01470   0.16217   0.23419   0.08665   0.03981   0.04000   7.02037   6.92162         1
   6.17832   3.45317 -13.96453   1.30443   0.62331   0.68716   0.23007   0.05415   0.01672   0.17898   0.23419   0.23745   0.05486   0.24830   6.81553   6.56548         1
   6.24636   3.17249   7.43738   2.34876   0.68530   0.87770   0.16317   0.06207   0.00974   0.16217   0.31256   0.23745   0.05515   0.10945   9.81293   5.78072         1
   5.29961   3.32569   5.51396   4.48970   0.62530   0.88684   0.26066   0.07499   0.01744   0.12382   0.23419   0.28007   0.06674   0.10945   9.60975   5.66114         1
   5.97347   2.09693   8.91178   4.48970   0.74892   0.65970   0.24230   0.03902   0.02656   0.21141   0.31256   0.17448   0.03981   0.04000   6.17215   3.67014         1
   4.43011   0.88925   3.89660   2.07828   0.55977   0.90414   0.18138   0.05465   0.01243   0.21141   0.23419   0.06084   0.03981   0.04000   8.79445   2.98816         1
